 Year Tse_N Tse_0 Tse_P Ts_N Ts_0 Ts_P
  4.25000E+00 -2.20238E-01 -3.42593E-01 -7.70833E-01 -3.34019E-02 -3.44131E-02 -3.54718E-02
  4.33333E+00 -1.98571E-01 -3.08889E-01 -6.95000E-01 -3.50286E-02 -3.61925E-02 -3.74144E-02
  4.41667E+00 -1.76905E-01 -2.75185E-01 -6.19166E-01 -3.62217E-02 -3.75402E-02 -3.89285E-02
  4.50000E+00 -1.55238E-01 -2.41481E-01 -5.43333E-01 -3.70155E-02 -3.84880E-02 -4.00434E-02
  4.58333E+00 -1.33571E-01 -2.07778E-01 -4.67500E-01 -3.74390E-02 -3.90627E-02 -4.07836E-02
  4.66667E+00 -1.11905E-01 -1.74074E-01 -3.91666E-01 -3.75169E-02 -3.92871E-02 -4.11701E-02
  4.75000E+00 -9.02381E-02 -1.40370E-01 -3.15833E-01 -3.72707E-02 -3.91811E-02 -4.12211E-02
  4.83333E+00 -6.85714E-02 -1.06667E-01 -2.40000E-01 -3.67193E-02 -3.87623E-02 -4.09525E-02
  4.91667E+00 -4.69047E-02 -7.29628E-02 -1.64166E-01 -3.58794E-02 -3.80461E-02 -4.03786E-02
  5.00000E+00 -2.52381E-02 -3.92593E-02 -8.83333E-02 -3.47660E-02 -3.70465E-02 -3.95120E-02
  5.08333E+00 -2.48413E-02 -3.86420E-02 -8.69444E-02 -3.35875E-02 -3.59709E-02 -3.85591E-02
  5.16667E+00 -2.44444E-02 -3.80247E-02 -8.55556E-02 -3.25338E-02 -3.50097E-02 -3.77106E-02
  5.25000E+00 -2.40476E-02 -3.74074E-02 -8.41667E-02 -3.15832E-02 -3.41427E-02 -3.69477E-02
  5.33333E+00 -2.36508E-02 -3.67901E-02 -8.27778E-02 -3.07176E-02 -3.33530E-02 -3.62548E-02
  5.41667E+00 -2.32540E-02 -3.61728E-02 -8.13889E-02 -2.99234E-02 -3.26281E-02 -3.56203E-02
  5.50000E+00 -2.28571E-02 -3.55556E-02 -8.00000E-02 -2.91901E-02 -3.19584E-02 -3.50351E-02
  5.58333E+00 -2.24603E-02 -3.49383E-02 -7.86111E-02 -2.85094E-02 -3.13361E-02 -3.44922E-02
  5.66667E+00 -2.20635E-02 -3.43210E-02 -7.72222E-02 -2.78745E-02 -3.07550E-02 -3.39859E-02
  5.75000E+00 -2.16667E-02 -3.37037E-02 -7.58334E-02 -2.72797E-02 -3.02099E-02 -3.35115E-02
  5.83333E+00 -2.12698E-02 -3.30864E-02 -7.44445E-02 -2.67204E-02 -2.96965E-02 -3.30651E-02
  5.91667E+00 -2.08730E-02 -3.24691E-02 -7.30556E-02 -2.61926E-02 -2.92114E-02 -3.26433E-02
  6.00000E+00 -2.04762E-02 -3.18519E-02 -7.16667E-02 -2.56929E-02 -2.87513E-02 -3.22434E-02
  6.08333E+00 -1.96429E-02 -3.05556E-02 -6.87500E-02 -2.52145E-02 -2.83096E-02 -3.18591E-02
  6.16667E+00 -1.88095E-02 -2.92593E-02 -6.58333E-02 -2.47511E-02 -2.78804E-02 -3.14844E-02
  6.25000E+00 -1.79762E-02 -2.79630E-02 -6.29167E-02 -2.43013E-02 -2.74623E-02 -3.11183E-02
  6.33333E+00 -1.71429E-02 -2.66667E-02 -6.00000E-02 -2.38637E-02 -2.70542E-02 -3.07597E-02
  6.41667E+00 -1.63095E-02 -2.53704E-02 -5.70833E-02 -2.34372E-02 -2.66549E-02 -3.04074E-02
  6.50000E+00 -1.54762E-02 -2.40741E-02 -5.41667E-02 -2.30205E-02 -2.62633E-02 -3.00608E-02
  6.58333E+00 -1.46429E-02 -2.27778E-02 -5.12500E-02 -2.26126E-02 -2.58788E-02 -2.97189E-02
  6.66667E+00 -1.38095E-02 -2.14815E-02 -4.83333E-02 -2.22128E-02 -2.55003E-02 -2.93811E-02
  6.75000E+00 -1.29762E-02 -2.01852E-02 -4.54167E-02 -2.18202E-02 -2.51272E-02 -2.90467E-02
  6.83333E+00 -1.21429E-02 -1.88889E-02 -4.25000E-02 -2.14340E-02 -2.47589E-02 -2.87151E-02
  6.91667E+00 -1.13095E-02 -1.75926E-02 -3.95833E-02 -2.10536E-02 -2.43948E-02 -2.83858E-02
  7.00000E+00 -1.04762E-02 -1.62963E-02 -3.66667E-02 -2.06784E-02 -2.40342E-02 -2.80584E-02
  7.08333E+00 -9.36508E-03 -1.45679E-02 -3.27778E-02 -2.03052E-02 -2.36743E-02 -2.77298E-02
  7.16667E+00 -8.25397E-03 -1.28395E-02 -2.88889E-02 -1.99314E-02 -2.33122E-02 -2.73974E-02
  7.25000E+00 -7.14286E-03 -1.11111E-02 -2.50000E-02 -1.95569E-02 -2.29479E-02 -2.70610E-02
  7.33333E+00 -6.03175E-03 -9.38272E-03 -2.11111E-02 -1.91816E-02 -2.25814E-02 -2.67209E-02
  7.41667E+00 -4.92064E-03 -7.65433E-03 -1.72222E-02 -1.88054E-02 -2.22127E-02 -2.63768E-02
  7.50000E+00 -3.80953E-03 -5.92594E-03 -1.33334E-02 -1.84284E-02 -2.18417E-02 -2.60288E-02
  7.58333E+00 -2.69842E-03 -4.19754E-03 -9.44446E-03 -1.80504E-02 -2.14684E-02 -2.56769E-02
  7.66667E+00 -1.58731E-03 -2.46914E-03 -5.55557E-03 -1.76712E-02 -2.10925E-02 -2.53209E-02
  7.75000E+00 -4.76199E-04 -7.40753E-04 -1.66669E-03 -1.72909E-02 -2.07142E-02 -2.49608E-02
  7.83333E+00  6.34915E-04  9.87645E-04  2.22220E-03 -1.69093E-02 -2.03333E-02 -2.45965E-02
  7.91667E+00  1.74603E-03  2.71604E-03  6.11110E-03 -1.65263E-02 -1.99497E-02 -2.42280E-02
  8.00000E+00  2.85713E-03  4.44443E-03  9.99997E-03 -1.61419E-02 -1.95634E-02 -2.38553E-02
  8.08333E+00  4.92064E-03  7.65433E-03  1.72222E-02 -1.57472E-02 -1.91656E-02 -2.34696E-02
  8.16667E+00  6.98413E-03  1.08642E-02  2.44444E-02 -1.53342E-02 -1.87482E-02 -2.30627E-02
  8.25000E+00  9.04761E-03  1.40741E-02  3.16666E-02 -1.49044E-02 -1.83126E-02 -2.26359E-02
  8.33333E+00  1.11111E-02  1.72840E-02  3.88889E-02 -1.44590E-02 -1.78599E-02 -2.21902E-02
  8.41667E+00  1.31746E-02  2.04938E-02  4.61111E-02 -1.39988E-02 -1.73910E-02 -2.17266E-02
  8.50000E+00  1.52381E-02  2.37037E-02  5.33333E-02 -1.35248E-02 -1.69066E-02 -2.12456E-02
  8.58333E+00  1.73016E-02  2.69136E-02  6.05556E-02 -1.30375E-02 -1.64075E-02 -2.07480E-02
  8.66667E+00  1.93651E-02  3.01235E-02  6.77778E-02 -1.25377E-02 -1.58941E-02 -2.02342E-02
  8.75000E+00  2.14286E-02  3.33333E-02  7.50000E-02 -1.20259E-02 -1.53670E-02 -1.97048E-02
  8.83333E+00  2.34921E-02  3.65432E-02  8.22223E-02 -1.15024E-02 -1.48266E-02 -1.91600E-02
  8.91667E+00  2.55556E-02  3.97531E-02  8.94445E-02 -1.09678E-02 -1.42734E-02 -1.86004E-02
  9.00000E+00  2.76190E-02  4.29630E-02  9.66667E-02 -1.04223E-02 -1.37077E-02 -1.80262E-02
  9.08333E+00  2.78968E-02  4.33951E-02  9.76389E-02 -9.88282E-03 -1.31461E-02 -1.74541E-02
  9.16667E+00  2.81746E-02  4.38272E-02  9.86111E-02 -9.36447E-03 -1.26041E-02 -1.68995E-02
  9.25000E+00  2.84524E-02  4.42593E-02  9.95833E-02 -8.86480E-03 -1.20793E-02 -1.63604E-02
  9.33333E+00  2.87302E-02  4.46914E-02  1.00556E-01 -8.38172E-03 -1.15699E-02 -1.58349E-02
  9.41667E+00  2.90079E-02  4.51235E-02  1.01528E-01 -7.91356E-03 -1.10742E-02 -1.53217E-02
  9.50000E+00  2.92857E-02  4.55556E-02  1.02500E-01 -7.45895E-03 -1.05910E-02 -1.48196E-02
  9.58333E+00  2.95635E-02  4.59877E-02  1.03472E-01 -7.01673E-03 -1.01192E-02 -1.43275E-02
  9.66667E+00  2.98413E-02  4.64198E-02  1.04444E-01 -6.58593E-03 -9.65795E-03 -1.38448E-02
  9.75000E+00  3.01190E-02  4.68519E-02  1.05417E-01 -6.16568E-03 -9.20647E-03 -1.33706E-02
  9.83333E+00  3.03968E-02  4.72840E-02  1.06389E-01 -5.75524E-03 -8.76406E-03 -1.29044E-02
  9.91667E+00  3.06746E-02  4.77161E-02  1.07361E-01 -5.35395E-03 -8.33010E-03 -1.24456E-02
  1.00000E+01  3.09524E-02  4.81481E-02  1.08333E-01 -4.96121E-03 -7.90407E-03 -1.19937E-02
  1.00833E+01  3.03968E-02  4.72839E-02  1.06389E-01 -4.58414E-03 -7.49311E-03 -1.15560E-02
  1.01667E+01  2.98413E-02  4.64197E-02  1.04444E-01 -4.22921E-03 -7.10379E-03 -1.11390E-02
  1.02500E+01  2.92857E-02  4.55556E-02  1.02500E-01 -3.89470E-03 -6.73452E-03 -1.07414E-02
  1.03333E+01  2.87302E-02  4.46914E-02  1.00556E-01 -3.57910E-03 -6.38389E-03 -1.03618E-02
  1.04167E+01  2.81746E-02  4.38272E-02  9.86111E-02 -3.28116E-03 -6.05075E-03 -9.99916E-03
  1.05000E+01  2.76190E-02  4.29630E-02  9.66667E-02 -2.99978E-03 -5.73409E-03 -9.65260E-03
  1.05833E+01  2.70635E-02  4.20988E-02  9.47222E-02 -2.73402E-03 -5.43302E-03 -9.32128E-03
  1.06667E+01  2.65079E-02  4.12346E-02  9.27778E-02 -2.48304E-03 -5.14676E-03 -9.00451E-03
  1.07500E+01  2.59524E-02  4.03704E-02  9.08333E-02 -2.24607E-03 -4.87462E-03 -8.70164E-03
  1.08333E+01  2.53968E-02  3.95062E-02  8.88889E-02 -2.02244E-03 -4.61596E-03 -8.41209E-03
  1.09167E+01  2.48413E-02  3.86420E-02  8.69444E-02 -1.81153E-03 -4.37020E-03 -8.13535E-03
  1.10000E+01  2.42857E-02  3.77778E-02  8.50000E-02 -1.61275E-03 -4.13681E-03 -7.87092E-03
  1.10833E+01  2.38492E-02  3.70988E-02  8.34722E-02 -1.42451E-03 -3.91421E-03 -7.61728E-03
  1.11667E+01  2.34127E-02  3.64197E-02  8.19444E-02 -1.24532E-03 -3.70096E-03 -7.37300E-03
  1.12500E+01  2.29762E-02  3.57407E-02  8.04167E-02 -1.07492E-03 -3.49679E-03 -7.13786E-03
  1.13333E+01  2.25397E-02  3.50617E-02  7.88889E-02 -9.13046E-04 -3.30148E-03 -6.91164E-03
  1.14167E+01  2.21032E-02  3.43827E-02  7.73611E-02 -7.59441E-04 -3.11477E-03 -6.69412E-03
  1.15000E+01  2.16667E-02  3.37037E-02  7.58334E-02 -6.13848E-04 -2.93641E-03 -6.48508E-03
  1.15833E+01  2.12302E-02  3.30247E-02  7.43056E-02 -4.76016E-04 -2.76618E-03 -6.28430E-03
