 Year Tse_N Tse_0 Tse_P Ts_N Ts_0 Ts_P
  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.33333E-02 -1.58731E-04 -2.46914E-04 -5.55557E-04 -1.45486E-06 -1.45486E-06 -1.45486E-06
  1.66667E-01 -3.17461E-04 -4.93828E-04 -1.11111E-03 -5.69083E-06 -5.70035E-06 -5.70988E-06
  2.50000E-01 -4.76191E-04 -7.40742E-04 -1.66667E-03 -1.24620E-05 -1.25080E-05 -1.25541E-05
  3.33333E-01 -6.34922E-04 -9.87656E-04 -2.22223E-03 -2.15568E-05 -2.16807E-05 -2.18052E-05
  4.16667E-01 -7.93652E-04 -1.23457E-03 -2.77778E-03 -3.28022E-05 -3.30571E-05 -3.33143E-05
  5.00000E-01 -9.52383E-04 -1.48148E-03 -3.33334E-03 -4.60525E-05 -4.65017E-05 -4.69564E-05
  5.83333E-01 -1.11111E-03 -1.72840E-03 -3.88890E-03 -6.11822E-05 -6.18975E-05 -6.26238E-05
  6.66667E-01 -1.26984E-03 -1.97531E-03 -4.44445E-03 -7.80820E-05 -7.91424E-05 -8.02224E-05
  7.50000E-01 -1.42857E-03 -2.22223E-03 -5.00001E-03 -9.66549E-05 -9.81459E-05 -9.96688E-05
  8.33333E-01 -1.58730E-03 -2.46914E-03 -5.55557E-03 -1.16815E-04 -1.18827E-04 -1.20888E-04
  9.16667E-01 -1.74604E-03 -2.71605E-03 -6.11112E-03 -1.38483E-04 -1.41112E-04 -1.43813E-04
  1.00000E+00 -1.90477E-03 -2.96297E-03 -6.66668E-03 -1.61590E-04 -1.64935E-04 -1.68382E-04
  1.08333E+00 -1.01786E-01 -1.58333E-01 -3.56250E-01 -1.10009E-03 -1.10425E-03 -1.10856E-03
  1.16667E+00 -2.01667E-01 -3.13704E-01 -7.05834E-01 -3.78713E-03 -3.79820E-03 -3.80946E-03
  1.25000E+00 -3.01548E-01 -4.69074E-01 -1.05542E+00 -8.06817E-03 -8.10320E-03 -8.13854E-03
  1.33333E+00 -4.01429E-01 -6.24445E-01 -1.40500E+00 -1.38102E-02 -1.38953E-02 -1.39811E-02
  1.41667E+00 -5.01310E-01 -7.79815E-01 -1.75458E+00 -2.09046E-02 -2.10733E-02 -2.12437E-02
  1.50000E+00 -6.01191E-01 -9.35185E-01 -2.10417E+00 -2.92596E-02 -2.95517E-02 -2.98477E-02
  1.58333E+00 -7.01071E-01 -1.09056E+00 -2.45375E+00 -3.87964E-02 -3.92572E-02 -3.97255E-02
  1.66667E+00 -8.00952E-01 -1.24593E+00 -2.80333E+00 -4.94464E-02 -5.01256E-02 -5.08178E-02
