 Year Ts CRF
  1.22000E+02  1.61096E+00 -3.25619E+00
  1.23000E+02  1.57263E+00 -1.99235E+00
  1.24000E+02  1.43872E+00 -1.87683E+00
  1.25000E+02  1.44586E+00 -1.71159E+00
  1.26000E+02  1.51938E+00 -2.50607E+00
  1.27000E+02  1.33621E+00 -7.10091E-01
  1.28000E+02  1.40439E+00 -2.28129E+00
  1.29000E+02  1.54114E+00 -2.81882E+00
  1.30000E+02  1.55988E+00 -1.83070E+00
  1.31000E+02  1.52261E+00 -1.99044E+00
  1.32000E+02  1.58560E+00 -2.31400E+00
  1.33000E+02  1.47000E+00 -1.80410E+00
  1.34000E+02  1.55533E+00 -1.93645E+00
  1.35000E+02  1.57755E+00 -2.05526E+00
  1.36000E+02  1.58432E+00 -2.68229E+00
  1.37000E+02  1.62997E+00 -2.65317E+00
  1.38000E+02  1.56729E+00 -2.12714E+00
  1.39000E+02  1.42563E+00 -8.76259E-01
  1.40000E+02  1.45767E+00 -1.49986E+00
  1.41000E+02  1.43558E+00 -1.57827E+00
  1.42000E+02  1.47272E+00 -2.34641E+00
  1.43000E+02  1.49246E+00 -1.44144E+00
  1.44000E+02  1.42380E+00 -1.43360E+00
  1.45000E+02  1.64957E+00 -2.83389E+00
  1.46000E+02  1.69232E+00 -2.04783E+00
  1.47000E+02  1.53268E+00 -1.23661E+00
  1.48000E+02  1.50842E+00 -2.50467E+00
  1.49000E+02  1.56042E+00 -2.62264E+00
  1.50000E+02  1.57657E+00 -1.82099E+00
  1.51000E+02  1.47238E+00 -1.67355E+00
  1.52000E+02  1.51477E+00 -1.54630E+00
  1.53000E+02  1.46796E+00 -1.99363E+00
  1.54000E+02  1.54114E+00 -1.96729E+00
  1.55000E+02  1.52451E+00 -2.56723E+00
  1.56000E+02  1.58890E+00 -1.37394E+00
  1.57000E+02  1.57867E+00 -1.87397E+00
  1.58000E+02  1.37274E+00 -1.09332E+00
  1.59000E+02  1.52847E+00 -2.79314E+00
  1.60000E+02  1.60092E+00 -2.16205E+00
  1.61000E+02  1.58011E+00 -2.62512E+00
  1.62000E+02  1.62210E+00 -1.94623E+00
  1.63000E+02  1.69366E+00 -2.47477E+00
  1.64000E+02  1.56964E+00 -1.34638E+00
  1.65000E+02  1.60519E+00 -2.75315E+00
  1.66000E+02  1.56876E+00 -1.83530E+00
  1.67000E+02  1.59299E+00 -1.97164E+00
  1.68000E+02  1.48862E+00 -9.12270E-01
  1.69000E+02  1.33850E+00 -2.13287E+00
  1.70000E+02  1.25311E+00 -1.03692E+00
  1.71000E+02  1.42792E+00 -2.45420E+00
  1.72000E+02  1.57376E+00 -2.51002E+00
  1.73000E+02  1.64847E+00 -2.20315E+00
  1.74000E+02  1.49582E+00 -1.73515E+00
  1.75000E+02  1.50046E+00 -2.06170E+00
  1.76000E+02  1.43149E+00 -8.46611E-01
  1.77000E+02  1.58359E+00 -3.09592E+00
  1.78000E+02  1.53940E+00 -2.19447E+00
  1.79000E+02  1.67450E+00 -2.65401E+00
  1.80000E+02  1.70728E+00 -2.19878E+00
  1.81000E+02  1.60818E+00 -1.29464E+00
  1.82000E+02  1.57492E+00 -1.70452E+00
  1.83000E+02  1.58026E+00 -1.82593E+00
  1.84000E+02  1.56583E+00 -2.79539E+00
  1.85000E+02  1.71954E+00 -2.97424E+00
  1.86000E+02  1.61215E+00 -1.02640E+00
  1.87000E+02  1.74570E+00 -3.07791E+00
  1.88000E+02  1.73343E+00 -2.73868E+00
  1.89000E+02  1.55969E+00 -2.01402E+00
  1.90000E+02  1.51807E+00 -2.15060E+00
  1.91000E+02  1.63251E+00 -2.58765E+00
  1.92000E+02  1.55728E+00 -1.80417E+00
  1.93000E+02  1.56757E+00 -2.42098E+00
  1.94000E+02  1.65909E+00 -2.17216E+00
  1.95000E+02  1.60361E+00 -2.25580E+00
  1.96000E+02  1.53528E+00 -1.76200E+00
  1.97000E+02  1.68118E+00 -2.06808E+00
  1.98000E+02  1.60925E+00 -2.09306E+00
  1.99000E+02  1.70627E+00 -1.98112E+00
  2.00000E+02  1.65442E+00 -2.84998E+00
  2.01000E+02  1.56342E+00 -1.59076E+00
  2.02000E+02  1.59940E+00 -2.01294E+00
  2.03000E+02  1.54913E+00 -1.39046E+00
  2.04000E+02  1.73776E+00 -3.16943E+00
  2.05000E+02  1.69330E+00 -2.84505E+00
  2.06000E+02  1.47696E+00 -1.71478E+00
  2.07000E+02  1.46432E+00 -1.13732E+00
  2.08000E+02  1.57858E+00 -2.22351E+00
  2.09000E+02  1.56317E+00 -2.08152E+00
  2.10000E+02  1.50317E+00 -1.45700E+00
  2.11000E+02  1.52530E+00 -1.97106E+00
  2.12000E+02  1.47589E+00 -2.13149E+00
  2.13000E+02  1.65561E+00 -2.05811E+00
  2.14000E+02  1.64767E+00 -1.49774E+00
  2.15000E+02  1.61069E+00 -2.34982E+00
  2.16000E+02  1.66422E+00 -1.73422E+00
  2.17000E+02  1.65762E+00 -2.14381E+00
  2.18000E+02  1.41504E+00 -1.22007E+00
  2.19000E+02  1.59506E+00 -2.78172E+00
