 Year Forcing ATM_N ATM_0 ATM_P OCN_N OCN_0 OCN_P DTDT_N DTDT_0 DTDT_P
  0.00000E+00  0.00000E+00 -0.00000E+00 -0.00000E+00 -0.00000E+00 -0.00000E+00 -0.00000E+00 -0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.33333E-02 -3.33334E-04  3.05521E-06  1.96407E-06  8.72919E-07  1.16800E-05  1.16800E-05  1.16800E-05 -3.18599E-04 -3.19690E-04 -3.20781E-04
  1.66667E-01 -6.66668E-04  1.19507E-05  7.69548E-06  3.42593E-06  4.56875E-05  4.57639E-05  4.58404E-05 -6.09030E-04 -6.13209E-04 -6.17402E-04
  2.50000E-01 -1.00000E-03  2.61702E-05  1.68858E-05  7.53249E-06  9.86109E-05  9.89802E-05  9.93505E-05 -8.75221E-04 -8.84136E-04 -8.93119E-04
  3.33333E-01 -1.33334E-03  4.52693E-05  2.92689E-05  1.30831E-05  1.66476E-04  1.67461E-04  1.68451E-04 -1.12159E-03 -1.13661E-03 -1.15180E-03
  4.16667E-01 -1.66667E-03  6.88847E-05  4.46271E-05  1.99886E-05  2.46526E-04  2.48520E-04  2.50533E-04 -1.35126E-03 -1.37352E-03 -1.39615E-03
  5.00000E-01 -2.00000E-03  9.67102E-05  6.27773E-05  2.81738E-05  3.36723E-04  3.40172E-04  3.43664E-04 -1.56657E-03 -1.59705E-03 -1.62817E-03
  5.83333E-01 -2.33334E-03  1.28483E-04  8.35617E-05  3.75743E-05  4.35513E-04  4.40895E-04  4.46362E-04 -1.76934E-03 -1.80888E-03 -1.84940E-03
  6.66667E-01 -2.66667E-03  1.63972E-04  1.06842E-04  4.81334E-05  5.41673E-04  5.49490E-04  5.57457E-04 -1.96103E-03 -2.01034E-03 -2.06108E-03
  7.50000E-01 -3.00001E-03  2.02975E-04  1.32497E-04  5.98013E-05  6.54224E-04  6.64995E-04  6.76006E-04 -2.14281E-03 -2.20251E-03 -2.26420E-03
  8.33333E-01 -3.33334E-03  2.45311E-04  1.60416E-04  7.25329E-05  7.72363E-04  7.86614E-04  8.01231E-04 -2.31567E-03 -2.38631E-03 -2.45958E-03
  9.16667E-01 -3.66667E-03  2.90815E-04  1.90501E-04  8.62879E-05  8.95424E-04  9.13689E-04  9.32482E-04 -2.48044E-03 -2.56248E-03 -2.64790E-03
  1.00000E+00 -4.00001E-03  3.39340E-04  2.22663E-04  1.01029E-04  1.02285E-03  1.04566E-03  1.06921E-03 -2.63782E-03 -2.73168E-03 -2.82977E-03
  1.08333E+00 -2.13750E-01  2.31019E-03  1.49074E-03  6.65133E-04  8.49212E-03  8.52002E-03  8.54889E-03 -2.02948E-01 -2.03739E-01 -2.04536E-01
  1.16667E+00 -4.23500E-01  7.95296E-03  5.12757E-03  2.28567E-03  2.99920E-02  3.00736E-02  3.01564E-02 -3.85555E-01 -3.88299E-01 -3.91058E-01
  1.25000E+00 -6.33250E-01  1.69432E-02  1.09393E-02  4.88312E-03  6.33790E-02  6.36507E-02  6.39246E-02 -5.52928E-01 -5.58660E-01 -5.64442E-01
  1.33333E+00 -8.43000E-01  2.90015E-02  1.87587E-02  8.38867E-03  1.06156E-01  1.06821E-01  1.07491E-01 -7.07843E-01 -7.17421E-01 -7.27120E-01
  1.41667E+00 -1.05275E+00  4.38996E-02  2.84489E-02  1.27462E-02  1.56590E-01  1.57897E-01  1.59218E-01 -8.52260E-01 -8.66404E-01 -8.80786E-01
  1.50000E+00 -1.26250E+00  6.14451E-02  3.98948E-02  1.79086E-02  2.13402E-01  2.15630E-01  2.17888E-01 -9.87653E-01 -1.00697E+00 -1.02670E+00
  1.58333E+00 -1.47225E+00  8.14725E-02  5.29973E-02  2.38353E-02  2.75614E-01  2.79065E-01  2.82573E-01 -1.11516E+00 -1.14019E+00 -1.16584E+00
  1.66667E+00 -1.68200E+00  1.03837E-01  6.76696E-02  3.04907E-02  3.42459E-01  3.47448E-01  3.52536E-01 -1.23570E+00 -1.26688E+00 -1.29897E+00
  1.75000E+00 -1.89175E+00  1.28412E-01  8.38349E-02  3.78433E-02  4.13320E-01  4.20174E-01  4.27185E-01 -1.35002E+00 -1.38774E+00 -1.42672E+00
  1.83333E+00 -2.10150E+00  1.55082E-01  1.01424E-01  4.58651E-02  4.87694E-01  4.96744E-01  5.06030E-01 -1.45872E+00 -1.50333E+00 -1.54960E+00
  1.91667E+00 -2.31125E+00  1.83745E-01  1.20376E-01  5.45304E-02  5.65161E-01  5.76743E-01  5.88663E-01 -1.56234E+00 -1.61413E+00 -1.66806E+00
  2.00000E+00 -2.52100E+00  2.14307E-01  1.40634E-01  6.38161E-02  6.45370E-01  6.59821E-01  6.74738E-01 -1.66132E+00 -1.72055E+00 -1.78245E+00
