 lamda  B B_N
  6.00000E-02  0.00000E+00  0.00000E+00
  1.20000E-01  0.00000E+00  0.00000E+00
  1.80000E-01  0.00000E+00  0.00000E+00
  2.40000E-01  0.00000E+00  0.00000E+00
  3.00000E-01  0.00000E+00  0.00000E+00
  3.60000E-01  0.00000E+00  0.00000E+00
  4.20000E-01  0.00000E+00  0.00000E+00
  4.80000E-01  0.00000E+00  0.00000E+00
  5.40000E-01  0.00000E+00  0.00000E+00
  6.00000E-01  4.49617E-22  5.83125E-29
  6.60000E-01  5.84786E-19  7.58430E-26
  7.20000E-01  2.21645E-16  2.87459E-23
  7.80000E-01  3.26338E-14  4.23240E-21
  8.40000E-01  2.29094E-12  2.97121E-19
  9.00000E-01  8.90909E-11  1.15545E-17
  9.60000E-01  2.14720E-09  2.78478E-16
  1.02000E+00  3.49404E-08  4.53155E-15
  1.08000E+00  4.10279E-07  5.32106E-14
  1.14000E+00  3.66326E-06  4.75102E-13
  1.20000E+00  2.59338E-05  3.36345E-12
  1.26000E+00  1.50569E-04  1.95279E-11
  1.32000E+00  7.36989E-04  9.55828E-11
  1.38000E+00  3.11115E-03  4.03496E-10
  1.44000E+00  1.15430E-02  1.49706E-09
  1.50000E+00  3.82427E-02  4.95984E-09
  1.56000E+00  1.14662E-01  1.48710E-08
  1.62000E+00  3.14681E-01  4.08122E-08
  1.68000E+00  7.98236E-01  1.03526E-07
  1.74000E+00  1.88728E+00  2.44769E-07
  1.80000E+00  4.18922E+00  5.43315E-07
  1.86000E+00  8.78520E+00  1.13939E-06
  1.92000E+00  1.75017E+01  2.26986E-06
  1.98000E+00  3.32820E+01  4.31647E-06
  2.04000E+00  6.06716E+01  7.86873E-06
  2.10000E+00  1.06423E+02  1.38024E-05
  2.16000E+00  1.80220E+02  2.33734E-05
  2.22000E+00  2.95511E+02  3.83259E-05
  2.28000E+00  4.70429E+02  6.10117E-05
  2.34000E+00  7.28780E+02  9.45182E-05
  2.40000E+00  1.10104E+03  1.42798E-04
  2.46000E+00  1.62533E+03  2.10795E-04
  2.52000E+00  2.34835E+03  3.04567E-04
  2.58000E+00  3.32622E+03  4.31389E-04
  2.64000E+00  4.62507E+03  5.99842E-04
  2.70000E+00  6.32159E+03  8.19871E-04
